initial_r,alpha,accuracy,params_M,flops_G,throughput_bs128,throughput_bs64,throughput_bs32,throughput_bs16,throughput_bs8,throughput_bs4,throughput_bs2,throughput_bs1,activation_mem_bs128,activation_mem_bs64,activation_mem_bs32,activation_mem_bs16,activation_mem_bs8,activation_mem_bs4,activation_mem_bs2,activation_mem_bs1
0.4,0.2,69.812,4.755979,1.13244928,1879.1579348233938,2025.9636879333964,2070.9079018863695,1830.2614457231978,1115.2723166843343,572.1426163314961,285.9999629740763,143.8438308055487,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.4,0.3,66.276,4.755979,1.04196864,2017.0211090497733,2146.3775595449947,2142.1716108011456,1770.1433510670709,1055.3221136325803,543.5976062183888,271.91646532919265,136.9947093956404,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.4,0.4,59.274,4.755979,0.939424256,2202.761399023672,2343.1975554634228,2284.6203028529776,1699.284414687515,987.5489323990049,506.5774048733285,253.2666325439674,127.84244807188455,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.4,0.5,38.12,4.755979,0.798944768,2460.5383790171004,2584.3365986920594,2262.387141683188,1602.4767436357242,914.0099185987592,469.1346798222898,236.41333418858332,119.46152674892642,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.4,0.6,3.154,4.755979,0.649886208,2757.3731087679043,2857.9267394213184,2268.6720430810906,1580.0584257153012,896.8545544838676,461.0827734196363,231.60499908060473,117.56606220862534,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.4,0.7,1.944,4.755979,0.597103104,2910.4678780998565,3007.2655978048692,2318.7491299360763,1610.5056953494643,915.7978471467536,470.9951623184466,236.38380853329915,119.92063967677642,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.4,0.8,1.786,4.755979,0.586338816,2940.207925420589,3043.732431116643,2326.4281055853626,1624.2204287646634,923.9189497208316,476.69257069262363,239.32972904006692,121.35734456738115,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.4,0.9,1.838,4.755979,0.586338816,2939.489554758129,3044.325328707417,2345.48802040326,1640.3499179077864,934.1132636028457,481.958378774593,241.98075682794644,122.54516925960152,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.4,1.0,1.81,4.755979,0.586338816,2939.943228476796,3043.732431116643,2342.0520380594958,1634.753573596239,933.8760064420305,480.7720038119682,241.76640152874754,122.36092678562531,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.45,0.0,69.444,4.755979,1.17696768,1836.4680064125043,1998.66896103015,2068.1817502414538,2060.564045278399,1305.442138230202,673.4351304310688,337.56050136253816,171.22114980670844,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.45,0.1,68.158,4.755979,1.117082112,1916.295722530531,2076.412018108624,2139.238713946077,1918.538905688737,1159.3073902977096,595.6962291568477,296.7767631721495,150.2866239048486,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.45,0.2,65.024,4.755979,1.0304128,2061.7919459715954,2198.768642505555,2222.4691158993382,1859.223249865328,1099.7567187489194,562.255139229665,281.1048092749285,141.8810000336241,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
